title,contents
반포대교 달빛무지개분수,"이미지 크게보기
반포대교 달빛무지개분수
분류
인문(문화/예술/역사) > 건축/조형물 > 분수
위치
서울특별시 서초구 신반포로11길 40 (반포동)
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
이용시간
주차시설
문의및안내
관련 홈페이지
상세정보
이용가능시설
화장실
한국어 안내서비스
개요
서울 반포대교에 설치된 분수인 달빛무지개분수는 반포대교 570m 구간 양측 총 1천140m에 380개 노즐을 설치해 수중펌프로 끌어올린 한강물을 약 20m 아래 한강 수면으로 떨어뜨리는 새로운 개념의 분수이다. 달빛 무지개 분수는 낮과 밤에 다른 모습을 즐길 수 있다. 뿜어내는 물의 양만 분당 190톤에 달하는 달빛 무지개 분수는 낮에는 분수에 떨어지는 물결의 모양에 따라 휘날리는 버들가지와 버들잎을 형상화한 모양 등 백 여 가지의 다양한 모습의 분수를 만들어낸다. 밤에는 긍정과 희망의 이미지를 상징하는 무지개 색깔의 분수로 화려하게 변신한다. 설치된 조명 200개는 아름다운 무지개 모양의 야경을 선사하고 음악에 맞춰 춤추는 분수는 시민들에게 색다른 즐거움을 선사한다. 또한 달빛 무지개 분수는 지난 2008년 12월 세계 최장 교량 분수로 기네스북에 등재되면서 최고의 위용을 세계에서도 인정받았다.이 분수는 매년 4월부터 10월까지 매일 가동되며 하루 4~6회(회당 20분씩) 가동된다. 공원에는 야외무대와 생태관찰원  피크닉 공간 등도 마련됐다.
이용안내
이용시간
비수기(4~6월  9~10월) : 12:00  19:30  20:00  20:30  21:00(매회 20분)
성수기(7~8월) : 12:00  19:30  20:00  20:30  21:00  21:30(매회 20분)
주차시설
있음(4개소  823대 주차가능)
문의및안내
02-3780-0578
관련 홈페이지
http://hangang.seoul.go.kr
상세정보
이용가능시설
매점 2개소
화장실
있음
한국어 안내서비스
가능(반포한강공원 안내센터)
반포대교달빛무지개분수 지도
반포대교달빛무지개분수
500m
© NAVER Corp.
일반
지형
위성
길찾기
확대보기"
물의정원,"이미지 크게보기
물의정원
분류
인문(문화/예술/역사) > 휴양관광지 > 공원
위치
경기도 남양주시 조안면 북한강로 398
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
이용시간
애완동물가능여부
문의및안내
관련 홈페이지
상세정보
입 장 료
개요
남양주 물의 정원은 국토교통부가 2012년 한강 살리기 사업으로 조성한 484 188㎡의 광대한 면적의 수변생태공원으로 조성되었다. 인근에 사는 주민들에게 물의 정원은 산책로와 자전거도로를 따라 조깅을 즐기고 라이딩을 즐기기 위해 방문하는 ‘동네공원이지만  외부인들에게는 일부러 시간 내서 데이트하러 오는 관광지이기도 하다.

물의정원은 자연과 소통하여 몸과 마음을 정화하고 치유하는 자연친화적 휴식공간이다.

물의정원 상징교인 뱃나들이교를 건너면 강변산책로변으로 대단지 초화 단지가 조성되어 5월에는 양귀비  9월에는 노랑코스모스를 만끽할 수 있다. 수려한 북한강과 초화단지가 어우러진다.
이용안내
이용시간
연중무휴
애완동물가능여부
가능
문의및안내
031-590-2783
관련 홈페이지
https://www.nyj.go.kr/
상세정보
입 장 료
무료
물의정원 지도
물의정원
10km
© NAVER Corp.
일반
지형
위성
확대보기"
서귀포 가시리마을 (녹산로 유채꽃도로),"이미지 크게보기
서귀포 가시리마을 (녹산로 유채꽃도로)
분류
인문(문화/예술/역사) > 체험관광지 > 농.산.어촌 체험
위치
제주특별자치도 서귀포시 표선면 가시로565번길 20
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
체험안내
문의및안내
관련 홈페이지
상세정보
관광코스안내
개요
서귀포 가시리마을은 해마다 4월이면 진입로부터 10km구간에 펼쳐지는 유채꽃과 벚꽃이 어우러져 그림같은 드라이브 코스를 자랑하는 곳이다. ‘한국의 아름다운 길 100선’ 에 선정되기도 한 가시리 녹산로는 조선시대 최고의 목마장이던 녹산장과 갑마장을 관통하는 길로 현재 제주에서도 손꼽히는 경관을 자랑하는 유채꽃길로 가시리 마을 10경 중 제1경으로 꼽히는 곳이다. 또한 가시리 마을은 따라비 오름  큰사슴이 오름 등 제주의 아름다운 자연경관도 함께 즐길 수 있다.
이용안내
체험안내
* 추천 체험거리 : 오름 트래킹  승마 체험  야생차 체험  말똥쿠키 만들기 등
※ 체험은 계절 및 현지사정에 따라 변동가능함으로 전화문의
문의및안내
064-787-1305
관련 홈페이지
http://jejuvill.net/jejutown/
상세정보
관광코스안내
* 먹거리 : 유채 비빔밥  유채 우동  유채 튀김
* 인근볼거리 : 조랑말체험공원  정석항공관  성읍민속마을
서귀포 가시리마을 (녹산로 유채꽃도로) 지도
서귀포 가시리마을 (녹산로 유채꽃도로)
10km
© NAVER Corp.
일반
지형
위성
확대보기"
삼성궁,"삼성궁
분류
자연 > 자연관광지 > 자연생태관광지
위치
경상남도 하동군 청암면 삼성궁길 86-15
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
이용시간
주차시설
애완동물가능여부
문의및안내
관련 홈페이지
상세정보
등산로
입 장 료
화장실
개요
환인  환웅  단군을 모시는 배달겨레의 성전이며  수도장이다. 옛날부터 전해 내려오던 선도를 이어받은 한풀선사가 수자(修子)들과 함께 수련하며 돌을 쌓아올린 1 500여 개 돌탑이 주변의 숲과 어울려 이국적인 정취를 풍겨낸다. 이 돌탑들은 이 곳에서 원력 솟대라 부른다. 삼한 시대에 천신께 제사지내던 성지  소도(蘇塗)엔 보통사람들의 접근을 금하려 높은나무에 기러기 조각을 얹은 솟대로 표시를 했다. 지금 성황당에 기원을 담듯  소원을 빌며 지리산 자락의 돌로 솟대를 쌓아 옛 소도를 복원하고 있다. 3 333개의 솟대를 쌓아 성전을 이루고 우리 민족 고유의 정신 문화를 되찾아 홍익인간 세계를 이루자며 무예와 가  무  악을 수련하는 이들의 터전이다.
이용안내
이용시간
4월~11월 8:30 ~ 17:00
12월~3월 8:30 ~ 16:30
주차시설
주차 가능
애완동물가능여부
가능
문의및안내
055-884-1279
관련 홈페이지
하동 문화관광 https://www.hadong.go.kr
상세정보
등산로
쌍계사 - 삼신봉 - 청학동 마을(8km  5시간)
입 장 료
[마고성/삼성궁]
개인 - 어른 7 000원 / 청소년 4 000원 / 어린이 3 000원 / 경로 장애 유공자 3 000원
단체 - 어른 6 000원 / 청소년 3 000원 / 어린이 2 500원
※ 단체는 30명이상
※ 만 65세 이상 신분증 제시
화장실
있음
삼성궁 지도
삼성궁
3km
© NAVER Corp.
일반
지형
위성
길찾기
확대보기"
제주도 국가지질공원,"이미지 크게보기
제주도 국가지질공원
분류
인문(문화/예술/역사) > 휴양관광지 > 공원
위치
제주특별자치도 제주시 조천읍 선교로 569-36
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
문의및안내
관련 홈페이지
개요
제주도는 한반도 서남단에서 남쪽으로 약 90㎞ 떨어져 있는 대륙붕 위의 화산섬으로서 화산분출물로 형성되었다. 화산지형이 원형 그대로 잘 보존돼 지구과학적 가치가 크고  경관도 아름답다. 제주도는 이 가운데 경관이 뛰어난 명소 9곳(한라산  성산일출봉  만장굴  서귀포층  산방산과 용머리해안  수월봉  중문대포해안 주상절리대  천지연폭포)을 유네스코 세계지질공원 네트워크(GGN)에 세계지질공원으로 인증을 받았다. 유네스코가 지원하는 세계지질공원은 지질학적으로 가치가 있고  희귀하며 경관이 아름다운 지역으로 교육과 지질관광이 활발히 이루어져 지역경제 발전에 기여하는 곳을 말한다. 제주도는 유네스코가 인정하는 지질공원  생물권보전지역  세계자연유산을 보유함으로써 세계적인 자연관광지로서 거듭나고 있다.

* 한라산국립공원 [유네스코 세계자연유산]

한라산은 제주도 순상화산의 중심 봉우리이며  1 950m의 해발고도로 세계자연유산이자 남한에서 가장 높은 산이다. 한라산은 제주도의 상징이자 한반도와 주변 해역에서 일어난 제4기 화산활동의 대표적인 산물이기도 하다. 정상부에 깊이 108m  너비 550m의 화구호인 백록담 분화구가 있으며  영실기암의 가파른 암벽과 약 40여개의 오름 등 여러 화산지형을 갖고 있다. 풍화와 침식에 의해 순상화산의 원래 지형이 파괴되지 않은 상태로 남아있는 한라산은 2002년과 2007년에는 각각 유네스코 생물권 보전지역과 유네스코 세계자연유산으로 등재되었다.

* 성산일출봉 [유네스코 세계자연유산]

전형적인 수성화산으로 높이 179m로 제주도 동쪽 해안에 거대한 고대의 성곽처럼 우뚝 솟아있다. 성산일출봉 응회구는 수심이 얕은 해저에서 분출하여 해수면 위로 성장한 섯치형 화산의 탄생과 성장과정을 잘 보여주고 있다. 2000년과 2007년에 각각 천연기념물과 유네스코 세계자연유산으로 지정되었다.

* 만장굴 [유네스코 세계자연유산]

거문오름에서 흘러나온 용암이 땅위를 흐르다 만들어진 용암동굴로  전체길이 약7 400m  최대 높이 약 25m  최대 폭 약 18m로서 제주 세계자연유산의 한 부분인 거문오름용암동굴계에 속하는 용암동굴이다.

* 서귀포층

수성화산 활동으로 생긴 화산재(火山灰)가 해양퇴적물과 함께 쌓이기를 반복해 생겨난 약 100m두께의 퇴적층으로 천연기념물로 지정되어 있다.

* 산방산

산방산은 제주도의 남서부 해안에 위치하고 있으며  395m의 높이를 지닌 거대한 용암돔이다. 밝은 회색을 띠고 있는 산방산 용암돔은 주상절리가 잘 발달한 조면암으로 구성되어 있다.

* 용머리 해안

산방산 용암돔의 남쪽 해안에 있는 용머리는 제주에서 가장 오래된 화산 지형으로 수성화산 활동으로 만들어진 응회환의 일부이다. 용머리는 작은 돌기처럼 돌출해 있는 형상을 하고 있으며  바닷속으로 들어가는 용의 머리를 닮았다하여 '용머리'로 불리며  해안경관이 뛰어나다.

* 수월봉

수월봉은 제주도의 서쪽 가장자리에 위치하고 있는 기복이 낮은 언덕 형태의 화산쇄설성 퇴적층이다. 땅속에서 올라온 마그마가 지하수를 만나 격렬하게 폭발하면서 뿜어져 나온 화산재들이 쌓혀 형성된 응회암의 일부로 높이가 77m이다.

* 중문.대포해안 주상절리대

대포동의 주상절리 용암은 인근에 있는 '녹하지악'이라는 오름에서 분출된 용암이 해안으로 흘러와 굳으면서 생겨났다. 주상절리의 기둥이 두껍게 잘 만들어져 있는 아랫부분과 주상절리의 기둥이 가늘고 복잡하게 만들어져 있는 윗부분의 수평과 수직 단면에서 잘 발달되어 있다.

* 천지연폭포

천지연폭포는 높이는 22m  폭은 12m이며  폭포 아래에는 수심 20m의 호수가 형성되어 있다. 폭포의 하류는 서귀포항까지 약 1km 정도의 계곡을 형성하는데  이곳에 서식하는 무태장어  담팔수나무 및 난대림은 천연기념물로 지정되어 있다.
이용안내
문의및안내
064-710-6657
관련 홈페이지
http://www.jeju.go.kr/geopark/index.htm
한라산 지도
한라산
20km
© NAVER Corp.
일반
지형
위성
길찾기
확대보기"
이월드,"이미지 크게보기
이월드
분류
인문(문화/예술/역사) > 휴양관광지 > 테마공원
위치
대구광역시 달서구 두류공원로 200 (두류동)
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
이용시간
쉬는날
주차시설
신용카드가능여부
애완동물가능여부
문의및안내
관련 홈페이지
상세정보
입 장 료
이용가능시설
화장실
주차요금
개요
* 유럽식 도시공원  이월드(구 우방타워랜드)

이월드는 1987년 10월 타워건립 및 종합테마파크 조성공사 재 착공을 시작으로 1993년 종합 테마파크 마스트플랜을 확정한 후 1995년 3월 개장한 폭포  분수  조명  꽃으로 장식된 유럽식 도시공원으로 남녀노소 누구나 즐길 수 있는 놀이기구  전시. 예술공간  깔끔한 식당가 등이 마련되어 있다. 이월드에는 각 테마별로 광장을 만들어 방문객으로 하여금 새로움과 즐거움을 선사하고 있다. 매표소를 거쳐 들어서는 입구에 진입광장  랜드의 중앙에 위치한 중앙광장  어린이들의 놀이터 어린이광장  젊은이들을 위한 공간이 영타운광장 등이 대표적인 광장이다.

* 83타워(구 우방타워)개괄 현황

83타워랜드에는 전망대  디지털 체험관  기획전시관 등의 교양시설과  어린이 놀이시설  오락실 등의 놀이시설이 조성되어 있다. 그리고 랜드 내에 회전레스토랑  스카이라운지 등 5개의 식음시설이 들어서 있어 다양한 먹거리를 제공하고 있다.
이용안내
이용시간
10:30~21:00
※ 이용시간은 변경될 수 있으니 홈페이지 참조 요망
쉬는날
연중무휴
주차시설
* 주차장 3개소 (총 2 500여대 동시수용)
- 장애인 전용 주차장
신용카드가능여부
가능
애완동물가능여부
불가
문의및안내
이월드 053-620-0001
관련 홈페이지
이월드 http://www.eworld.kr
상세정보
입 장 료
* 입장권 : 어른 26 000원 / 청소년 16 000원 / 어린이 15 000원
※ 이월드 입장 + 무료공연관람 + 동물농장 관람

* 자유이용권 : 어른 45 000원 / 청소년 40 000원 / 어린이 35 000원
※ 이월드 입장권혜택 + 놀이기구 이용 + 83타워 매직아트 이용 + 아이스링크 주중할인혜택

* 야간자유이용권 : 어른 31 000원 / 청소년 어린이 29 000원
※ 종일 자유이용권 혜택 + 별빛축제 관람
※ 야간 자유이용권은 17:00 ~ 폐장시간까지 적용
※ 주중 주말 공휴일 구분없이 동일 적용
※ 야간자유이용권은 타 할인혜택과 중복사용 불가
※ 입장권은 야간할인적용 불가
※ 83타워 전망대 별도 이용요금 지불
이용가능시설
* 판타지월드 : 만남의광장  하트광장  스카이웨이  트램  고스트어드벤쳐  후룸라이드  알라딘
* 매직월드 : 개구리점프  매직열차  날으는 코끼리  미니바이킹  미니카레이싱  스위티컵  코코몽비행선  닌자거북이  코코몽관람차  회전목마  안데르센하우스
* 어드벤처월드 : 범퍼카  제트레이스  부메랑  뮤직익스프레스  탑스핀  카멜백  라이온즈 코인야구장  동물농장
* 다이나믹월드 : 바이킹  탬버린  벌룬레이스  레인저  허리케인  스카이싸이클  메가스윙360  에어레이스
화장실
있음
주차요금
일반 3 000원 / 연간회원 2 000원
※ 83타워 이용은 30 000원 이상 이용고객 무료이용(단  타워시설물 영수증 지참)
이월드 지도
이월드
3km
© NAVER Corp.
일반
지형
위성
길찾기
확대보기"
광교마루길,"이미지 크게보기
광교마루길
분류
자연 > 자연관광지 > 자연생태관광지
위치
수원시 장안구 하광교동 400-10
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
이용시간
애완동물가능여부
문의및안내
상세정보
개요
광교 마루길은 봄꽃 명소와 단풍 명소에 이어 눈꽃이 아름다운 장소로 선정된 길이다. 산책길이 잘 조성돼 있어 가족이나 연인과 함께 담소 나누며 걷기 좋다. 봄 코스는 광교 반딧불이에서 광교쉼터로 1.7Km이며 왕벚나무  조팝나무  진달래 등이 피어 산책하기 좋다. 가을 코스는 광교공원-광교 마루길-광교수변 산책로까지 3.6Km의 거리로 왕벚  단풍  중국단풍   플라타너스  붉나무  참나무 등 단풍이 아름답다. 겨울 코스는 광교 제방-광교 마루길까지 이어진 길로 수원시 장안구 하광교동 400-10일대이다. 광교산 설경은 수원 팔경 중 하나로 겨울이면 사방댐과 수변 산책로에 눈꽃이 장관을 이룬다.
이용안내
이용시간
상시
애완동물가능여부
가능
문의및안내
031-228-3643
상세정보
광교마루길 지도
광교마루길
10km
© NAVER Corp.
일반
지형
위성
확대보기"
금강보행교,"이미지 크게보기
금강보행교
분류
인문(문화/예술/역사) > 건축/조형물 > 다리/대교
위치
세종특별자치시 연기면 세종리
출처원문보기
대한민국구석구석 원문보기
개요
세종시의 랜드마크가 될 금강보행교는 2018년 7월에 착공을 시작하여 2022년 3월 임시 개통을 앞두고 있다. 국내 최초로 복층 일면 강관트러스교로 지어졌으며  독창적인 디자인으로 도시미관 향상에 크게 기여할 것으로 보여진다. 금강보행교는 환상의 시간여행 이라는 설계 개념으로  교량상부(폭 12m)는 보행편의를 위한 휴게 및 편의시설과 다양한 이벤트  놀이 체험시설이 가득한 녹지 보행공간으로 조성했고  교량하부(폭 7m)에는 쾌적한 자전거 전용도로를 설치하여 보행자 안전을 보장하고 자전거 이용자들에게도 편의를 제공할 예정이다.
이용안내
문의및안내
044-120
관련 홈페이지
https://www.sejong.go.kr/tour.do
금강보행교 지도
금강보행교
10km
© NAVER Corp.
일반
지형
위성
확대보기"
경화역 벚꽃길,"이미지 크게보기
경화역 벚꽃길
분류
인문(문화/예술/역사) > 체험관광지 > 이색체험
위치
경상남도 창원시 진해구 진해대로 649
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
이용시간
쉬는날
문의및안내
관련 홈페이지
상세정보
화장실
개요
경남의 벚꽃명소로 유명해진 경화역은 경남 창원시 진해구 경화동에 있는 작은 간이역으로 2006년부터 여객업무는 하지 않고 있다. 성주사역과 진해역 사이에 위치하고 있으며 철길따라 쭉 펼쳐진 벚꽃이 터널을 이루어  안민고개나 진해 여좌천 다리와 함께 벚꽃 사진명소로도 유명하다. 벚꽃이 만발한 철길 위를 자유롭게 거닐 수 있으며  벚꽃이 떨어질때면 열차에 흩날리는 벚꽃이 환상적인 낭만을 느끼게 해준다. 영화 `소년  천국에 가다`와 드라마 `봄의 왈츠` 촬영지인 경화역에서 세화여고까지 이어지는 약 800ｍ 철로변 벚꽃은 여좌천보다 한가하게 벚꽃을 즐길 수 있어 연인들과 가족단위 관광객들이 많이 찾고 있다. 매년 벚꽃이 필 무렵이면 구경하러 오는 관광객들이 점차 늘어나 2009년에는 군항제 기간에만 일시적으로 여객업무를 재개하기도 하였다. 군항제 기간 중에는 벚꽃축제 셔틀열차를 운행하며  이 곳을 지나는 열차들은 모두 서행운전을 하여 관광객들이 벚꽃의 낭만을 마음껏 즐길수 있도록 하고 있다. 최근에는 관광객들이 이용하기 편한 깨끗한 화장실도 새로 마련하였다.
이용안내
이용시간
상시 가능
쉬는날
연중무휴
문의및안내
055-289-8815
관련 홈페이지
창원시청 http://culture.changwon.go.kr
상세정보
화장실
있음
경화역 간이역 지도
경화역 간이역
1000m
© NAVER Corp.
일반
지형
위성
길찾기
확대보기"
제주대 벚꽃길,"이미지 크게보기
제주대 벚꽃길
분류
자연 > 자연관광지 > 자연생태관광지
위치
제주특별자치도 제주시 제주대학로 102
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
이용시간
쉬는날
주차시설
체험가능연령
문의및안내
관련 홈페이지
상세정보
입 장 료
개요
우리나라에서 가장 먼저 벚꽃을 만날 수 있는 곳은 제주도이다. 서귀포에서 제일 먼저 개화한 벚꽃은 3월 말에서 4월 초쯤이면 절정에 이른다. 제주 시내를 조금 벗어난 외곽에는 드라이브 코스로 좋은 벚꽃길이 있다. 제주시청을 지나 1131번 도로를 타고 내려가다 보면 왼편으로 제주대학교 진입로가 나타난다. 이곳부터 제주대학교 입구까지 1km 남짓한 도로변에 벚나무들이 즐비하게 늘어서 있다. 벚꽃이 길 위 하늘을 덮을 정도로 만개할 때 이곳에서 드라이브를 즐기면 '꽃 터널'을 지나는 듯 환상적인 기분을 느낄 수 있다. 벚꽃이 절정을 이루다 못해 하늘거리며 땅 위로 떨어지고 있어 마치 눈이 내린 설경(雪景)을 보는 것만 같다. 한창 차를 타고 달리다 보면 빼곡하게 들어찬 꽃 눈송이 사이로 푸른 하늘이 펼쳐지며 눈을 즐겁게 해준다. 이곳은 도로가 넓고 통행량이 많지 않아 슬슬 차를 몰아가며 드라이브 기분을 만끽하기에 제격이다. 하지만 주말에는 나들이 나온 제주 시민들로 북적대기 때문에 한적한 분위기를 맛보려면 평일에 방문하는 것이 좋다.
이용안내
이용시간
00:00~24:00
쉬는날
연중개방
주차시설
주차가능
체험가능연령
전연령
문의및안내
제주관광정보센터 064-740-6000
관련 홈페이지
비짓제주 https://www.visitjeju.net/kr/
상세정보
입 장 료
무료
제주대 벚꽃길 지도
제주대 벚꽃길
10km
© NAVER Corp.
일반
지형
위성
확대보기"
