title,contents
소백산하늘자락공원,"이미지 크게보기
소백산하늘자락공원
분류
인문(문화/예술/역사) > 휴양관광지 > 공원
위치
경상북도 예천군 용문면 내지리
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
개장일
쉬는날
문의및안내
관련 홈페이지
상세정보
등산로
관광코스안내
개요
예천 양수발전소 상부댐 일원에 자리하고 있는 공원으로 탁 트인 주변의 경관이 좋은 곳이다. 공연을 할 수 있는 무대와 간람석이 있어 하늘과 가까운 공연장에서 새로운 경험을 할 수 있으며  주변에 '치유의 길'이 있어 산책하기에도 좋다. 바로 아래에는 하늘전망대가 있어 앞으로 많은 관광객들이 자주 찾을 수 있는 곳이다.
이용안내
개장일
2019-05-01
쉬는날
연중무휴
문의및안내
054-6654-3801
관련 홈페이지
http://www.ycg.kr/open.content/tour
상세정보
등산로
* 하늘전망대 -> 하늘자락공원 -> 하늘자락길 -> 명봉사
(5.8km  2시간 40분)
관광코스안내
[백두대간 파워스팟(Power Spot) 권역]
* 예천군 용문면 및 효자면 일원으로 풍수명당의 관광콘텐츠 가치 보유
* 기본 관광코스
금당실 전통마을 - 용문사 - 소백산하늘자락공원 - 명봉사 - 명봉사 태실 (금당실 전통마을 -> 용문사 15분 거리 / 용문사 -> 소백산 하늘자락공원 10분거리 / 하늘자락공원 -> 명봉사 20분거리 / 명봉사 태실(명봉사 내))

* 체험내용
금당실전통마을 : 전통놀이  한옥체험 가능
소백산하늘자락공원 지도
소백산하늘자락공원
10km
© NAVER Corp.
일반
지형
위성
확대보기"
통도사[유네스코 세계문화유산],"이미지 크게보기
통도사[유네스코 세계문화유산]
분류
인문(문화/예술/역사) > 역사관광지 > 사찰
위치
경상남도 양산시 하북면 통도사로 108
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
이용시간
쉬는날
주차시설
신용카드가능여부
애완동물가능여부
체험안내
문의및안내
관련 홈페이지
상세정보
관 람 료
화장실
주차요금
개요
초록 융단 같은 영축의 위용과 고준한 승풍의 총문은 장구한 역사를 지닌 이곳 통도사를 유 · 무정의 인연들로 하나 되게 하는 최상의 무대이기도 하다. 그간 총림 살림은 급변하는 시대 흐름과 함께 아주 많은 변화를 거쳐왔고 그와 더불어 다양성 또한 갖추게 되었다. 가시적으로는 대중과 사회의 눈높이에 맞춘 도량 건조물의 증 · 개축을 들 수 있으며 운영시스템 상으로도 디지털 사회에 부합하는 종무행정시스템 개선을 통한 업무능력 향상 및 효율성 극대화를 이루었다. 특히 통도사는 2018년 ‘산사-한국의 산지승원’이란 이름으로 유네스코 세계문화유산에 등재되어 국지대찰  불지종가로서의 사격(寺格)을 전세계적으로 공인받음으로서 한국불교의 근간이자 명실공한 종합수행도량으로서 인정 받은 바 있다. 앞으로 영축총림은 불교정신을 선도하는 계율근본도량으로서 한국불교의 종가집이자 대한민국 최고의 총림을 지향해 가는 수행공동체로서 거듭나고자 한다.
이용안내
이용시간
08:30~17:30
쉬는날
매주 월요일
주차시설
있음(솔밭주차장  일호주차장  산문주차장)
신용카드가능여부
불가
애완동물가능여부
불가
체험안내
템플스테이
문의및안내
055-382-7182  381-1442
관련 홈페이지
http://www.tongdosa.or.kr/
http://templestay.tongdosa.or.kr
상세정보
관 람 료
성인 : 개인 3 000원 / 단체 2 500원 청소년 : 개인 1 500원 / 단체 1 200원 어린이(7세 이상) : 개인 1 000원 / 단체 800원
화장실
있음
주차요금
15인승 이하 2 000원/ 15인승 이상 3 500원
통도사 지도
통도사
1000m
© NAVER Corp.
일반
지형
위성
길찾기
확대보기"
상리공원,"이미지 크게보기
상리공원
분류
인문(문화/예술/역사) > 휴양관광지 > 공원
위치
대구광역시 서구 중리동 산198-3
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
이용시간
쉬는날
주차시설
유모차대여여부
문의및안내
관련 홈페이지
상세정보
이용가능시설
화장실
개요
상리공원은 7만3천여평 규모의 공원으로 입구에 들어서면 넓은 광장(4900㎡)과 파란 잔디밭(4175㎡)이 보이며 가족공원으로 제격이다. 넓은 광장에서는 롤러브레이드와 롤러스케이트  자전거 타기를 즐기는 어린아이들과 청소년들로 항상 북적되고 또 공원 입구 오른쪽 운동장에서는 축구나 족구를 즐기는 사람들이 많다. 조용하고 한적한 분위기의 상리공원은 젊은 연인들이나 가족들이 편안한 피크닉을 즐기기에 좋은 공원이다. 공원 여기저기에 철봉 등의 간단한 체육시설과 산책로가 있어 운동을 즐기는 시민들도 많이 있다. 따가운 햇살을 피할 수 있는 파고라와벤치도 곳곳에 마련되어 있다.
이용안내
이용시간
00:00~24:00
쉬는날
연중개방
주차시설
주차가능
유모차대여여부
불가
문의및안내
053-663-2856
관련 홈페이지
대구서구청 문화관광 http://www.dgs.go.kr/tour/
상세정보
이용가능시설
광장  배드민턴장  게이트볼장  정자  파고라  벤치 등
화장실
있음
상리공원 지도
상리공원
1000m
© NAVER Corp.
일반
지형
위성
길찾기
확대보기"
초량 이바구길,"이미지 크게보기
초량 이바구길
분류
인문(문화/예술/역사) > 체험관광지 > 이색체험
위치
부산광역시 동구 초량상로 49 (초량동)
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
문의및안내
관련 홈페이지
상세정보
관광코스안내
개요
부산시 동구의 ‘초량 이바구길’은 부산의 역사와 문화를 담고 있는 테마 거리이다. 이곳은 일제강점기 부산항 개항을 시작으로 해방 후 피난민의 생활터였던 1950~60년대  산업 부흥기였던 1970~80년대 부산의 모습을 고스란히 담고 있는 이야기의 보고다. 길이 1.5km의 이바구길은 부산역 건너편에 자리한 부산 최초 물류창고인 남선창고 터에서 출발해 옛 백제병원 건물  초량초등학교 담장에 설치된 이바구 갤러리  우물터  168계단  김민부 전망대  당산  망양로까지 이어져 있다. 이 중 가곡 ‘기다리는 마음’을 작사한 김민부 시인의 전망대는 부산항을 조망하기 더없이 좋은 장소로 경치가 아름답기로 유명하다. 한국의 슈바이처 장기려 박사 기념관에서는 건강지원센터를 이용할 수 있고  까꼬막(‘산비탈’의 경상도 사투리)은 산복도로 투어 및 체험을 제공한다. 이바구길의 끝자락에 위치한 지상 2층 규모의 ‘이바구공작소’는 지역의 역사관 격으로 마을 자료관  전망 데크 등을 운영하고 있다.
이용안내
문의및안내
051-253-8253
관련 홈페이지
http://www.2bagu.co.kr/index.bsdonggu
상세정보
관광코스안내
* 초량이바구길
남선창고(터) - (구)백제병원 - 담장갤러리 - 인물사담장 - 168계단 모노레일 - 김민부 전망대 - 이바구 충전소 - 당산 - 이바구 공작소 - 망양로 산복도로 전시관 - 장기려 더 나눔센터 - 이바구캠프 - 스카이웨이 전망대 - 유치환의 우체통 - 까꼬막

* 범일 이중섭거리
이중섭 갤러리 - 거리미술관 - 희망길 100계단 - 이중섭 전망대 - 이중섭 쉼터

* 부산포개항가도
자성대공원 - 부산진시장 - 영가대본터 - 자성로 지하도 - 과선교 - 역사스토리골목 - 정공단 - 부산진일신여학교 - 기미독립선언문 - 동구출신 독립운동가 기림벽 - 안용복 기념 부산포개항문화관 - 부산포 개항가도 경사형 엘리베이터 - 증산공원

* 한일교류의길
초량역5번출구 - 정발장군 동상 - 일본총영사관 - 초량동 일본식 가옥 - 수정동 일본식 가옥 - 동구보훈회관 - 동구청 - 경남여고 - 부산진세무서 - 부산동부경찰서

* 호랭이 어슬렁길
현대백화점 - 친구의 거리(구름다리) - 범일골목시장 - 호천석교비 - 범일골목시장 옛 간판거리 - 누나의 길 - 삼일고무 옛 터 - 극장이야기 - 동산의 기억 전망대 - 귀환동포마을 - 호랭이 쉼터 - 통일교 성지 - 안창호랭이마을
초량 이바구길 지도
초량 이바구길
10km
© NAVER Corp.
일반
지형
위성
확대보기"
임항선 그린웨이,"이미지 크게보기
임항선 그린웨이
분류
인문(문화/예술/역사) > 휴양관광지 > 공원
위치
경상남도 창원시 마산합포구 월포동 (월포동)
출처원문보기
대한민국구석구석 원문보기
개요
임항선 그린웨이는 경상남도 마산에 위치한 '임항선' 폐 철길을 활용하여 2015년에 공원으로 만든 것이다. 임항선은 경전선 마산역에서  북마산역  신마산역  마산항역을 잇는 노선으로 1905년에 개통하여 2011년 2월 폐지되었다. 이에 창원시에서는 구 마산세관에서 석전사거리 개나리아파트까지의 4.6km 폐 철길 구간을 공원으로 재탄생 시켰다. 길이 잘 정비가 되어 있어 걷기 좋고 곳곳에 시화와 벽화 그리고 철도 역무원 조형물이 있다.
이용안내
문의및안내
055-225-7104
관련 홈페이지
http://culture.changwon.go.kr/index.changwon?contentId=9
임항선 그린웨이 지도
임항선 그린웨이
10km
© NAVER Corp.
일반
지형
위성
확대보기"
푸른수목원&항동철길,"이미지 크게보기
푸른수목원&항동철길
분류
자연 > 자연관광지 > 수목원
위치
서울특별시 구로구 연동로 240
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
이용시간
문의및안내
관련 홈페이지
상세정보
입 장 료
개요
※ 코로나바이러스감염증-19 공지사항
※ 내용 : 정상운영 (푸른수목원 일부 실내 시설 미운영) / 별도 공지시 까지
→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기

서울시 최초로 조성된 시립수목원으로 2 100 여종의 다양한 식물을 감상할 수 있으며 수목원 입구와 연결되는 항동철길과 연계 관광이 가능하다.
이용안내
이용시간
매일 05:00 - 22:00
문의및안내
푸른수목원 관리사무소 / 02-2686-3200
관련 홈페이지
https://korean.visitseoul.net/nature/푸른수목원_/29796
상세정보
입 장 료
무료
푸른수목원&항동철길 지도
푸른수목원&항동철길
10km
© NAVER Corp.
일반
지형
위성
확대보기"
병암서원,"이미지 크게보기
병암서원
분류
인문(문화/예술/역사) > 역사관광지 > 유적지/사적지
위치
대구광역시 달서구 새방로 21 (용산동)
출처원문보기
대한민국구석구석 원문보기
개요
병암서원(屛岩書院)은 1625년(인조3) 도경유가 낙음정사(洛陰精舍1)를 지어 수학·강도(講道)하였다. 1675년(숙종1) 병암서당을 창건하여 후손들의 종회당 겸 후학을 양성하는 장소로 삼았다. 이를 1785년(정조10)에는 도응유(都應喩)와 도경유(都慶喩) 형제를 추모하기 위해 병암서원으로 숭호하고 위패를 모셨다. 그 후 1868년(고종5) 흥선대원군의 서원철폐령으로 훼철된 것을 1924년 지역유림과 후손들의 열의로 복원하였다. 2000년 대구광역시의 도시개발계획에 따라 서원일대가 완전 재개발을 위한 구획정리가 됨에 따라 옛 서원을 헐고 2001년 8월 23일 재건축 기공식을 갖고 조감도와 같이 공사하여 2003년 5월에 사당  강당  동서재 등 목조건물 10여동을 새로 중건하였다. 집목판 100여 점이 보존되어 있으며 해마다 음력 3월 29일에 제사를 지낸다.
이용안내
체험안내
고택체험
문의및안내
053-581-4129
대구 병암서원 지도
대구 병암서원
300m
© NAVER Corp.
일반
지형
위성
길찾기
확대보기"
창원 성산 패총,"이미지 크게보기
창원 성산 패총
분류
인문(문화/예술/역사) > 역사관광지 > 유적지/사적지
위치
경상남도 창원시 성산구 성산패총로 137 (외동)
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
이용시간
쉬는날
애완동물가능여부
문의및안내
관련 홈페이지
상세정보
입 장 료
이용가능시설
화장실
외국어 안내서비스
개요
* 철기시대의 생활상을 만날 수 있는 곳  성산패총 *

창원역에서 창원터널로 이어지는 창원대로를 따라가다 보면 가음정동 유적군의 남쪽  높이 49m의 야산인 성산이 보인다. 유적은 성산 정상부 유물전시관이 세워져 있는 성산공원에 위치한다. 성산은 산성이 있는 소구릉으로 남쪽 아래에 불모산에서 발원하여 마산만으로 연결되는 남천이 있으며  북쪽으로 가음정동 유적과 연결되어 있다. 동구 조개더미는 성산의 동남쪽 능선의 계곡  서남구 조개더미는 성산의 서남구 능선 계곡  북구 조개더미는 성산의 북쪽 경사면에 위치한다. 성산패총은 공단부지조성이 한창이던 1974년 문화재관리국에서 주관하여 긴급발굴 조사되어 초기 철기시대의 대규모 패총과 삼국시대의 성곽이 확인되었다. 막대한 양의 각종 토기류  골각기류  철기류  석기류 등이 출토되어 당시의 생활상을 연구하는데 귀중한 자료가 되었다. 특히 철 생산 관련 유구인 야철지가 발견되어 이천년 전부터 철을 생산 사용하였음을 알 수 있게 되었다. 1975년 야철지 보호각을 건립하여 야철지를 발굴당시의 상태대로 보존하고  1976년 건립된 유물전시관에는 성산패총 출토유물을 전시하여 일반인들에게 역사교육 자료로 공개 활용하고 있다.

* 성산패총의 구조와 형태에 대하여 *

성산패총은 동구 조개더미와 북구와 서남구 조개더미로 구성되어 있다. 동구 조개더미는 계단식의 경작지로 되어 있으며  20° 정도의 완만한 경사를 이루고 있다. 패각 퇴적 범위는 약 10×15m 정도이며  패총의 층위는 5개의 퇴적층으로 구분되나  크게 아래의 무문 토기류가 출토되는 회갈색 부식토의 무문 토기 문화층과 위의 삼한시대 문화층으로 나뉜다. 서남구 조개더미는 50×20m의 범위에 형성되어 있다. 계단식 밭으로 경작되어 있었고  25~30° 되는 경사지에 해당된다. 층위는 크게 무문 토기 유물 포함층과 연질 토기와 경질 토기 등의 유물 포함층으로 나뉜다.북구 조개더미는 약 20×40m 정도의 범위에 형성되어 있다. 패각의 퇴적 두께는 최대 5m에 이르며  이는 성산 패총에서 가장 두터운 패각층이다. 북구 조개더미는 조개더미 층위와 출토유물로 보아 동구 조개더미와 서남구 조개더미보다 늦은 시기에 형성된 것으로 추정된다.
이용안내
이용시간
매일 09:00~18:00
* 동절기에는 17시까지
쉬는날
연중무휴
애완동물가능여부
불가
문의및안내
055-225-3673
관련 홈페이지
http://culture.changwon.go.kr
http://www.cha.go.kr
상세정보
입 장 료
무료
이용가능시설
[1층 전시관] 신석기시대  청동기시대  삼한시대  삼국시대 유물전시
[2층 전시관] 어로와 수렵생활  농경생활  장신구와 생활신앙  삼한시대의 대외교류
야철지  패각총  성곽  전망대
화장실
있음
외국어 안내서비스
단체인 경우 사전 예약
성산패총 지도
성산패총
500m
© NAVER Corp.
일반
지형
위성
길찾기
확대보기"
오성제 저수지,"이미지 크게보기
오성제 저수지
분류
자연 > 자연관광지 > 호수
위치
전라북도 완주군 소양면 대흥리
출처원문보기
대한민국구석구석 원문보기
개요
전라북도 완주군 소양면에 위치한 저수지로 아름다운 자연과 저수지 주변 산책로는 지역민들에게 휴식공간을 제공한다. 저수지 앞 오스갤러리와 더불어 포토존으로 유명하며  2019년 BTS(방탄소년단) 썸머패키지 촬영지로 알려져 많은 관광객들이 찾고 있는 명소다.
이용안내
문의및안내
063-290-3930
관련 홈페이지
http://www.wanju.go.kr/tour/index.wanju
오성제 저수지 지도
오성제 저수지
10km
© NAVER Corp.
일반
지형
위성
확대보기"
곤륜산 활공장,"이미지 크게보기
곤륜산 활공장
분류
인문(문화/예술/역사) > 체험관광지 > 이색체험
위치
경상북도 포항시 북구 흥해읍
출처원문보기
대한민국구석구석 원문보기
개요
곤륜산 활공장은 넓은 평지에 인조잔디가 깔려 있는 패러글라이딩 활공장으로 정상까지는 약 20분 정도 소요가 된다. 곤륜산 활공장은 포항의 핫플레이스로 활공장 정상에서 보이는 탁 트인 경치를 배경으로 인생 샷을 남기기 위해 많은 관광객들이 찾고있다. 활공장으로 올라가는 진입로는 경사가 급하며  아영  취사행위  인화성물질 등의 사용을 금하고 있다.
이용안내
문의및안내
054-270-5836
관련 홈페이지
https://www.pohang.go.kr/phtour/index.do
곤륜산 활공장 지도
곤륜산 활공장
10km
© NAVER Corp.
일반
지형
위성
확대보기"
